Puertas,Kilómetros,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,squared_error,Marca,Modelo,combustible
5.0,78120.0,8.0,2.0,0.0,0.0,902513002.6834669,Hyundai,Tucson,Nafta
5.0,78120.0,8.0,2.0,0.0,0.0,902513002.6834669,Hyundai,Tucson,Nafta
4.0,546270.0,12.0,2.0,0.0,0.0,900983002.64357,Audi,Q5,Nafta
3.0,583340.0,19.0,4.0,1.0,0.0,896419505.6955566,Jeep,Wrangler,Nafta
5.0,1500000.0,7.0,3.0,0.0,0.0,895284707.9624176,BMW,X5,Nafta
5.0,620000.0,8.0,3.0,0.0,0.0,890584132.0556641,BMW,X3,Nafta
5.0,420000.0,10.0,3.0,1.0,0.0,879764493.3355865,Marca_Otros,Macan,Nafta
5.0,1000000.0,9.0,3.0,0.0,0.0,873495507.5842898,Audi,Q5,Nafta
4.0,680100.0,9.0,2.0,0.0,0.0,871233457.378479,Marca_Otros,Macan,Nafta
5.0,650000.0,38.0,4.2,1.0,1.0,869750645.8723297,Toyota,Land Cruiser,Nafta
5.0,0.0,0.0,1.8,0.0,0.0,854118662.3999176,Toyota,Corolla Cross,Otros
5.0,0.0,0.0,1.8,0.0,0.0,854118662.3999176,Toyota,Corolla Cross,Otros
